deviceDeploymentID,deviceID,deviceType,deviceDescription,deviceExtra,pollutant,units,dataIngestSource,dataIngestURL,dataIngestUnitID,dataIngestExtra,dataIngestDescription,locationID,locationName,longitude,latitude,elevation,countryCode,stateCode,countyName,timezone,houseNumber,street,city,zip,AQSID,fullAQSID,airnow_stationID,airnow_parameterName,airnow_monitorType,airnow_siteCode,airnow_status,airnow_agencyID,airnow_agencyName,airnow_EPARegion,airnow_GMTOffsetHours,airnow_CBSA_ID,airnow_CBSA_Name,airnow_stateAQSCode,airnow_countyAQSCode,airnow_MSAName,address,airnow_countryFIPS,airnow_stateAbbreviation,airnow_countryCode,airnow_stateCode,airnow_timezone,airnow_houseNumber,airnow_street,airnow_city,airnow_zip,airsis_Alias,airsis_dataFormat,airsis_provider,airsis_unitID,deploymentType
121fad25495a747a_apcd.1020,apcd.1020,Iridium...Ebam,,,PM2.5,UG/M3,AIRSIS,http://apcd.airsis.com/vision/common/CSVExport.aspx,1020,,,121fad25495a747a,MMNPS1020,-119.783957,37.674544,589.97,US,CA,,America/Los_Angeles,,Foresta Road,,95318,MMNPS1020,840MMNPS1020,MMNPS1020,PM2.5,Temporary,1020,Active,NPS,National Park Service,USEPA,-8,,,,,,"El Portal Community Hall, Foresta Road, El Portal, Mariposa County, CA 95318, United States of America",,,,,,,,,,YOSE EBAM 003,Iridium...Ebam,apcd,1020,Temporary
1255097a8d1069dc_arb3.2015,arb3.2015,EBAM.Multi.2,,,PM2.5,UG/M3,AIRSIS,http://arb3.airsis.com/vision/common/CSVExport.aspx,2015,,,1255097a8d1069dc,RX 2015,-122.5688,41.90306,711,US,CA,Siskiyou,America/Los_Angeles,14642,Bradley-Henley Road,,96044,,,,,,,,,,,,,,,,,"14642 Bradley-Henley Road, Siskiyou County, CA 96044, United States of America",,,,,,,,,,RX 2015,EBAM.Multi.2,arb3,2015,Temporary
2275481147c5c093_apcd.1021,apcd.1021,Iridium...Ebam,,,PM2.5,UG/M3,AIRSIS,http://apcd.airsis.com/vision/common/CSVExport.aspx,1021,,,2275481147c5c093,MMNPS1016,-118.912346,36.427875,254.81,US,CA,,America/Los_Angeles,,unnamed road,,93271,MMNPS1016,840MMNPS1016,MMNPS1016,PM2.5,Temporary,1016,Active,NPS,National Park Service,USEPA,-8,,,,,,"unnamed road, Tulare County, CA 93271, United States of America",,,,,,,,,,SEKI1002 EBAM5,Iridium...Ebam,apcd,1021,Temporary
27a9a690d3e5fea7_arb3.2067,arb3.2067,EBAM.Multi.2,,,PM2.5,UG/M3,AIRSIS,http://arb3.airsis.com/vision/common/CSVExport.aspx,2067,,,27a9a690d3e5fea7,RX 2067,-123.1954,41.84011,418,US,CA,Siskiyou,America/Los_Angeles,,CA 96,,96086,,,,,,,,,,,,,,,,,"Seiad Work Center, CA 96, Seiad Valley, Siskiyou County, CA 96086, United States of America",,,,,,,,,,RX 2067,EBAM.Multi.2,arb3,2067,Temporary
3f17a85a8e1653c0_arb3.2001,arb3.2001,EBAM.Multi.2,,,PM2.5,UG/M3,AIRSIS,http://arb3.airsis.com/vision/common/CSVExport.aspx,2001,,,3f17a85a8e1653c0,MMCA81049,-123.394489,41.79004,397.98,US,CA,,America/Los_Angeles,,unnamed road,,,MMCA81023,840MMCA81023,MMCA81023,PM2.5,Temporary,1023,Active,CA8,California Air Resources Board,R9,-8,,,,,,"unnamed road, Happy Camp, Siskiyou County, CA, United States of America",,,,,,,,,,RX 2001,EBAM.Multi.2,arb3,2001,Temporary
7220aaf21ed7f3e4_apcd.1055,apcd.1055,EBAM.Multi.2,,,PM2.5,UG/M3,AIRSIS,http://apcd.airsis.com/vision/common/CSVExport.aspx,1055,,,7220aaf21ed7f3e4,Idaho1010,-116.336889,45.412245,840,US,ID,Idaho,America/Boise,,Seven Devils Road,,83549,840MMNPS1055,840MMNPS1055,840MMNPS1055,PM2.5,Temporary,,Active,,National Park Service,,,,,,,,"Seven Devils Road, Idaho County, ID 83549, United States of America",,,,,,,,,,Idaho1010,EBAM.Multi.2,apcd,1055,Temporary
7c5c4524cabdf95d_arb3.2023,arb3.2023,EBAM.Multi.2,,,PM2.5,UG/M3,AIRSIS,http://arb3.airsis.com/vision/common/CSVExport.aspx,2023,,,7c5c4524cabdf95d,MMCA83999,-117.119232,32.810116,108,US,CA,,America/Los_Angeles,3645,Ruffin Road,,92123,MMCA81029,840MMCA81029,MMCA81029,PM2.5,Temporary,1029,Active,CA8,California Air Resources Board,R9,-8,,,,,,"3645 Ruffin Road, San Diego, CA 92123, United States of America",,,,,,,,,,RX 2023,EBAM.Multi.2,arb3,2023,Temporary
a56f36849142ff48_arb3.2019,arb3.2019,EBAM.Multi.2,,,PM2.5,UG/M3,AIRSIS,http://arb3.airsis.com/vision/common/CSVExport.aspx,2019,,,a56f36849142ff48,MMCA82039,-120.109942,34.664472,254.82,US,CA,,America/Los_Angeles,,unnamed road,,93441,MMCA82039,840MMCA82039,840MMCA82039,PM2.5,Temporary,2039,Active,CA8,California Air Resources Board,R9,-8,,,,,,"unnamed road, Los Olivos, Santa Barbara County, CA 93441, United States of America",,,,,,,,,,RX 2019,EBAM.Multi.2,arb3,2019,Temporary
c8f9f28ffb221422_arb3.2062,arb3.2062,EBAM.Multi.2,,,PM2.5,UG/M3,AIRSIS,http://arb3.airsis.com/vision/common/CSVExport.aspx,2062,,,c8f9f28ffb221422,MMCA82062,-123.675156,41.047175,108,US,CA,Humboldt,America/Los_Angeles,198,Pine Creek Road,,95546,840MMCA82062,840MMCA82062,840MMCA82062,PM2.5,Temporary,1002,Active,EPA,California Air Resources Board,R9,-8,,,,,,"198 Pine Creek Road, Humboldt County, CA 95546, United States of America",US,,,,,,,,,RX 2062,EBAM.Multi.2,arb3,2062,Temporary
c9433af1b72dae1e_apcd.1019,apcd.1019,Iridium...Ebam,,,PM2.5,UG/M3,AIRSIS,http://apcd.airsis.com/vision/common/CSVExport.aspx,1019,,,c9433af1b72dae1e,MMNPS1019,-119.65976,37.54126,1265,US,CA,Mariposa,America/Los_Angeles,,Chilnualna Falls Road,,,MMNPS1019,840MMNPS1019,MMNPS1019,PM2.5,Temporary,1019,Active,NPS,National Park Service,USEPA,-8,,,,,,"Chilnualna Falls Road, North Wawona, Mariposa County, CA, United States of America",,,,,,,,,,YOSE EBAM 002,Iridium...Ebam,apcd,1019,Temporary
cec6dc2148ab7bb3_arb3.2034,arb3.2034,EBAM.Multi.2,,,PM2.5,UG/M3,AIRSIS,http://arb3.airsis.com/vision/common/CSVExport.aspx,2034,,,cec6dc2148ab7bb3,MMCA82034,-120.517337,34.750614,161,US,CA,Santa Barbara,America/Los_Angeles,,Cabrillo Highway,,93437,MMCA82034,840MMCA82034,840MMCA82034,PM2.5,Temporary,2034,Active,CA8,California Air Resources Board,R9,-8,,,,,,"Vandenberg Middle School, Cabrillo Highway, Vandenberg AFB, Santa Barbara County, CA 93437, United States of America",,,,,,,,,,RX 2034,EBAM.Multi.2,arb3,2034,Temporary
e7e2789cdae091ac_apcd.1029,apcd.1029,Iridium...Ebam,,,PM2.5,UG/M3,AIRSIS,http://apcd.airsis.com/vision/common/CSVExport.aspx,1029,,,e7e2789cdae091ac,BUTTE EBAM,-121.7166,39.40752,28,US,CA,Butte,America/Los_Angeles,2854,West Biggs Gridley Road,Biggs,95917,,,,,,,,,,,,,,,,,"2854 West Biggs Gridley Road, Biggs, CA 95917, United States of America",,,,,,,,,,BUTTE EBAM,Iridium...Ebam,apcd,1029,Temporary
